17828.69 11660.44,30
17481.44 11619.28,60
17074.34 11580.25,60
16739.32 11463.98,60
16172.19 11318.02,60
15772.5 11277.71,30
15407.17 11220.43,60
15044.36 11162.3,60
14574.65 11122.84,120
13961.87 11229.76,120
13576.7 11293.41,60
13220.31 11363.0,60
12724.89 11376.58,120
12429.41 11285.35,60
11933.28 11276.01,60
11060.2 11261.59,120
10870.17 10998.94,120
10446.55 10707.43,120
10018.47 10804.6,120
9705.75 10766.41,60
9334.81 10856.79,60
8945.69 10892.01,60
8735.68 10845.34,60
8445.18 10776.17,60
7569.47 10579.72,120
6857.03 10305.61,120
6513.25 10177.47,60
6280.25 9790.92,60
5984.97 9284.29,120
5509.5 9168.46,60
5287.46 9112.45,60
4634.15 9073.83,60
4317.63 9020.8,60
3912.88 8815.0,60
3482.08 8638.92,60
2996.78 8437.79,60
2545.64 8261.28,60
1809.34 8206.12,120
