1973.58 10089.21,30
2322.63 10116.79,60
2760.08 10222.02,60
3603.31 10457.52,60
3924.71 10547.89,60
4370.88 10672.22,60
4740.93 10734.17,60
5119.93 10780.42,60
5511.54 10832.18,60
6333.8 10906.44,120
6683.8 10934.87,120
6969.88 10838.97,60
7635.23 10594.57,180
7923.29 10388.35,120
8017.01 9823.59,180
7604.36 9558.82,120
7594.77 9297.45,60
7612.73 8855.74,120
7590.86 8446.7,60
7579.25 8205.69,60
7621.93 7667.67,180
7777.0 7326.95,120
7928.97 6833.47,60
7959.57 6551.31,120
7933.93 5792.22,60
7957.82 5433.25,60
7846.02 4862.56,120
7604.1 4409.4,120
6456.96 3834.88,120
6075.29 3677.04,60
5675.51 3681.28,60
5430.05 3521.74,60
4999.08 3268.86,120
